world,tag,band,greedy,nohedge,bound,pas,churn,breaches
HMM,202210,0.3,81.57,207.83,675.46,True,300.0,0
HMM,202211,0.3,82.72,43.84,654.87,True,337.5,0
HMM,202212,0.3,-1.12,-59.89,678.57,True,375.0,0
HMM,202301,0.3,30.55,24.47,607.03,True,312.5,0
HMM,202302,0.3,-7.53,61.45,625.74,True,437.5,0
HMM,202303,0.3,62.94,12.24,594.21,True,125.0,0
HMM,202304,0.3,16.92,-41.09,580.73,True,300.0,0
HMM,202305,0.3,22.64,-141.85,590.67,True,462.5,0
HMM,202306,0.3,14.79,-80.88,559.36,True,300.0,0
HMM,202307,0.3,-1.84,-10.19,456.39,True,300.0,0
HMM,202308,0.3,34.85,-28.36,535.92,True,312.5,0
HMM,202309,0.3,-20.54,-32.55,548.63,True,300.0,0
HMM,202310,0.3,14.02,21.05,516.71,True,300.0,0
HMM,202311,0.3,2.94,-30.98,568.83,True,131.2,0
HMM,202312,0.3,9.57,-24.23,526.54,True,325.0,0
