param_set,h_state,n,z,barrier_logret,barrier,p_surv_true,p_surv_bridge,p_surv_varmatch,p_surv_edgeworth,p_surv_mc,mc_se,p_ko_true,p_ko_bridge,p_ko_varmatch,p_ko_edgeworth,abs_err_bridge,rel_err_bridge,rel_err_varmatch,rel_err_edgeworth,mc_z
A_equity_psi095,stressed,5,-1.0,-0.0390426217602437,DOWN,0.15833257862341665,0.15865525393145707,0.15883429673033794,0.1583035123879929,0.1584233,8.164721816552544e-05,0.15833257862341665,0.15865525393145707,0.15883429673033794,0.1583035123879929,0.000322675308040421,0.0020379590280524794,0.003168761042631612,-0.00018357709876556838,-1.1111386109862824
A_equity_psi095,stressed,5,-0.5,-0.019601643469407567,DOWN,0.3032609753920025,0.3085375387259869,0.30866775547605896,0.30324429148480875,0.30331015,0.00010278937529546356,0.3032609753920025,0.3085375387259869,0.30866775547605896,0.30324429148480875,0.005276563333984408,0.0173994142410305,0.017828802657735798,-5.501501527573847e-05,-0.47840166219685754
A_equity_psi095,stressed,5,0.5,0.019280313112264708,UP,0.6866963542974099,0.6914624612740131,0.691332244523941,0.6866805133100768,0.6867819,0.00010370933723344697,0.31330364570259006,0.3085375387259869,0.30866775547605896,0.31331948668992315,-0.004766106976603179,-0.015212421055347388,-0.01479679630326363,5.0561133106413775e-05,-0.8248601801151739
A_equity_psi095,stressed,5,1.0,0.03872129140310085,UP,0.8417105293388034,0.8413447460685429,0.841165703269662,0.8416828335652671,0.8416532,8.16312126558876e-05,0.15828947066119659,0.15865525393145707,0.158834296730338,0.15831716643473293,0.00036578327026048907,0.0023108502968173608,0.0034419602697867437,0.00017496914621453554,0.7022967923445367
A_equity_psi095,stressed,5,1.5,0.05816226969393699,UP,0.936450564720988,0.9331927987311419,0.9330489802074398,0.9364564620067538,0.93641765,5.456172547924936e-05,0.06354943527901202,0.06680720126885809,0.06695101979256024,0.06354353799324619,0.003257765989846062,0.051263492359026185,0.05352658916029159,-9.279839765594302e-05,0.6032565997295025
A_equity_psi095,stressed,5,2.0,0.07760324798477312,UP,0.9802269280324811,0.9772498680518208,0.977169879652217,0.9802626524810039,0.98023715,3.112256474689348e-05,0.019773071967518874,0.02275013194817921,0.02283012034778298,0.01973734751899614,0.002977059980660335,0.1505613283333382,0.15460664813671354,-0.0018067222220916447,-0.3284423247893022
A_equity_psi095,stressed,5,2.5,0.09704422627560925,UP,0.9953302427857252,0.9937903346742238,0.9937578471024021,0.9953529091548619,0.9953117499999999,1.5274603996914332e-05,0.004669757214274761,0.006209665325776159,0.006242152897597886,0.0046470908451381465,0.001539908111501398,0.3297619214108445,0.33671893658979574,-0.004853864579367623,1.2106883902872378
A_equity_psi095,stressed,5,3.0,0.1164852045664454,UP,0.9991769837584807,0.9986501019683699,0.9986402349579923,0.9991749131286779,0.9991810999999999,6.396207640866077e-06,0.0008230162415192588,0.0013498980316301035,0.0013597650420077434,0.0008250868713221005,0.0005268817901108447,0.6401839520666561,0.6521727924805777,0.0025159039377149633,-0.6435440733494744
A_equity_psi095,stressed,21,-3.0,-0.2212136123248029,DOWN,0.0032458249563880326,0.0013498980316300957,0.0013901494906433964,0.0032941127472647684,0.00326555,1.2757128097541814e-05,0.0032458249563880326,0.0013498980316300957,0.0013901494906433964,0.0032941127472647684,-0.001895926924757937,-0.58411249843483,-0.5717115034476904,0.014876893093603741,-1.546197816714573
A_equity_psi095,stressed,21,-2.5,-0.18438024264466693,DOWN,0.01034755723040992,0.006209665325776139,0.0063417847388722035,0.010467408672746627,0.01040375,2.268866732612685e-05,0.01034755723040992,0.006209665325776139,0.0063417847388722035,0.010467408672746627,-0.004137891904633781,-0.3998907000459139,-0.3871225258619833,0.011582583180548226,-2.476688858907598
